@relation 'FIROModality: -C 2 '

@attribute Obligation_Class {0,1}
@attribute Prohibition_Class {0,1}
@attribute text string

@data
1,0,'SCHEDULE 2\n\nFINANCIAL ACTIVITY, SIMPLIFIED DUE DILIGENCE AND POLITICALLY EXPOSED PERSONS\n\nRegulations 4(1)(e) and (2), 13(6) and (8) and 14(5).\n\n\n\nFinancial activity on an occasional or very limited basis\n\n1\n\nFor the purposes of regulation 4(1)(e) and (2), a person is to be considered as engaging in financial activity on an occasional or very limited basis if all the following conditions are fulfilledâ€”\n\na\n\nthe personâ€™s total annual turnover in respect of the financial activity does not exceed Â£64,000;\n\n\nb\n\nthe financial activity is limited in relation to any customer to no more than one transaction exceeding 1,000 euro, whether the transaction is carried out in a single operation, or a series of operations which appear to be linked;\n\n\nc\n\nthe financial activity does not exceed 5\% of the personâ€™s total annual turnover;\n\n\nd\n\nthe financial activity is ancillary and directly related to the personâ€™s main activity;\n\n\ne\n\nthe financial activity is not the transmission or remittance of money (or any representation of monetary value) by any means;\n\n\nf\n\nthe personâ€™s main activity is not that of a person falling within regulation 3(1)(a) to (f) or (h);\n\n\ng\n\nthe financial activity is provided only to customers of the personâ€™s main activity and is not offered to the public.\n\n\n\n\n\nSimplified due diligence\n\n2\n\nFor the purposes of regulation 13(6) , the conditions areâ€”\n\na\n\nthe authority has been entrusted with public functions pursuant to the Treaty on the European Union , the Treaties on the European Communities or Community secondary legislation;\n\n\nb\n\nthe authorityâ€™s identity is publicly available, transparent and certain;\n\n\nc\n\nthe activities of the authority and its accounting practices are transparent;\n\n\nd\n\neither the authority is accountable to a Community institution or to the authorities of an EEA state, or otherwise appropriate check and balance procedures exist ensuring control of the authorityâ€™s activity.\n\n\n\n\n3\n\nFor the purposes of regulation 13(8) , the conditions areâ€”\n\na\n\nthe product has a written contractual base;\n\n\nb\n\nany related transaction is carried out through an account of the customer with a credit institution which is subject to the money laundering directive or with a credit institution situated in a non-EEA state which imposes requirements equivalent to those laid down in that directive;\n\n\nc\n\nthe product or related transaction is not anonymous and its nature is such that it allows for the timely application of customer due diligence measures where there is a suspicion of money laundering or terrorist financing;\n\n\nd\n\nthe product is within the following maximum thresholdâ€”\n\ni\n\nin the case of insurance policies or savings products of a similar nature, the annual premium is no more than 1,000 euro or there is a single premium of no more than 2,500 euro;\n\n\nii\n\nin the case of products which are related to the financing of physical assets where the legal and beneficial title of the assets is not transferred to the customer until the termination of the contractual relationship (whether the transaction is carried out in a single operation or in several operations which appear to be linked), the annual payments do not exceed 15,000 euro;\n\n\niii\n\nin all other cases, the maximum threshold is 15,000 euro;\n\n\n\ne\n\nthe benefits of the product or related transaction cannot be realised for the benefit of third parties, except in the case of death, disablement, survival to a predetermined advanced age, or similar events;\n\n\nf\n\nin the case of products or related transactions allowing for the investment of funds in financial assets or claims, including insurance or other kinds of contingent claimsâ€”\n\ni\n\nthe benefits of the product or related transaction are only realisable in the long term;\n\n\nii\n\nthe product or related transaction cannot be used as collateral; and\n\n\niii\n\nduring the contractual relationship, no accelerated payments are made, surrender clauses used or early termination takes place.\n\n\n\n\n\n\nPolitically exposed persons\n\n4\n\n\n1\nFor the purposes of regulation 14(5)â€”\n\na\n\nindividuals who are or have been entrusted with prominent public functions include the followingâ€”\n\ni\n\nheads of state, heads of government, ministers and deputy or assistant ministers;\n\n\nii\n\nmembers of parliaments;\n\n\niii\n\nmembers of supreme courts, of constitutional courts or of other high-level judicial bodies whose decisions are not generally subject to further appeal, other than in exceptional circumstances;\n\n\niv\n\nmembers of courts of auditors or of the boards of central banks;\n\n\nv\n\nambassadors, chargÃ©s dâ€™affaires and high-ranking officers in the armed forces; and\n\n\nvi\n\nmembers of the administrative, management or supervisory bodies of state-owned enterprises;\n\n\n\nb\n\nthe categories set out in paragraphs (i) to (vi) of sub-paragraph (a) do not include middle-ranking or more junior officials;\n\n\nc\n\nimmediate family members include the followingâ€”\n\ni\n\na spouse;\n\n\nii\n\na partner;\n\n\niii\n\nchildren and their spouses or partners; and\n\n\niv\n\nparents;\n\n\n\nd\n\npersons known to be close associates include the followingâ€”\n\ni\n\nany individual who is known to have joint beneficial ownership of a legal entity or legal arrangement, or any other close business relations, with a person referred to in regulation 14(5)(a) ; and\n\n\nii\n\nany individual who has sole beneficial ownership of a legal entity or legal arrangement which is known to have been set up for the benefit of a person referred to in regulation 14(5)(a) .\n\n\n\n\n\n2\n\nIn paragraph (1)(c), â€œpartnerâ€� means a person who is considered by his national law as equivalent to a spouse.'
0,1,'Requirement to cease transactions etc.\n\n11\n\n\n1\nWhere, in relation to any customer, a relevant person is unable to apply customer due diligence measures in accordance with the provisions of this Part, heâ€”\n\na\n\nmust not carry out a transaction with or for the customer through a bank account;\n\n\nb\n\nmust not establish a business relationship or carry out an occasional transaction with the customer;'
0,1,'Shell banks, anonymous accounts etc.\n\n16\n\n\n1\nA credit institution must not enter into, or continue, a correspondent banking relationship with a shell bank.'
0,1,'3\n\nA credit or financial institution carrying on business in the United Kingdom must not set up an anonymous account or an anonymous passbook for any new or existing customer.'
1,0,'(d) Compliance obligations of deferred \nfinancial institutions. Nothing in this \nsection shall be deemed to relieve an \nexempt financial institution from its \nresponsibility to comply with any other \napplicable requirement of law or \nregulation, including title 31 of the \nU.S.C. and this chapte'
1,0,'§ 1010.306 Filing of reports. \n(a)(1) A report required by § 1010.311 \nor § 1021.311, shall be filed by the \nfinancial institution within 15 days \nfollowing the day on which the \nreportable transaction occurred'
1,0,'(2) A copy of each report filed \npursuant to §§ 1010.311, 1010.313, \n1020.315, 1021.311 and 1021.313, shall \nbe retained by the financial institution \nfor a period of five years from the date \nof the report.'
1,0,'(3) All reports required to be filed by \n§§ 1010.311, 1010.313, 1020.315, \n1021.311 and 1021.313, shall be filed \nwith the Commissioner of Internal \nRevenue, unless otherwise specified.'
1,0,'(b)(1) A report required by \n§ 1010.340(a) shall be filed at the time \nof entry into the United States or at the \ntime of departure, mailing or shipping \nfrom the United States, unless otherwise \nspecified by the Commissioner of \nCustoms and Border Protection. \n(2) A report required by § 1010.340(b) \nshall be filed within 15 days after \nreceipt of the currency or other \nmonetary instruments. \n(3) All reports required by § 1010.340 \nshall be filed with the Customs officer \nin charge at any port of entry or \ndeparture, or as otherwise specified by \nthe Commissioner of Customs and \nBorder Protection. Reports required by \n§ 1010.340(a) for currency or other \nmonetary instruments not physically \naccompanying a person entering or \ndeparting from the United States, may \nbe filed by mail on or before the date of \nentry, departure, mailing or shipping. \nAll reports required by § 1010.340(b) \nmay also be filed by mail. Reports filed \nby mail shall be addressed to the \nCommissioner of Customs and Border \nProtection, Attention: Currency \nTransportation Reports, Washington, DC \n20229.'
1,0,'(c) Reports required to be filed by \n§ 1010.350 shall be filed with the \nCommissioner of Internal Revenue on or \nbefore June 30 of each calendar year \nwith respect to foreign financial \naccounts exceeding $10,000 maintained \nduring the previous calendar year.'
1,0,'(d) Reports required by § 1010.311, \n§ 1010.313, § 1010.340, § 1010.350, \n§ 1020.315, § 1021.311 or § 1021.313 of \nthis chapter shall be filed on forms \nprescribed by the Secretary. All \ninformation called for in such forms \nshall be furnished'
1,0,'§ 1010.311 Filing obligations for reports of \ntransactions in currency. \nEach financial institution other than a \ncasino shall file a report of each deposit, \nwithdrawal, exchange of currency or \nother payment or transfer, by, through, \nor to such financial institution which \ninvolves a transaction in currency of \nmore than $10,000, except as otherwise \nprovided in this section'
1,0,'§ 1010.312 Identification required. \nBefore concluding any transaction \nwith respect to which a report is \nrequired under § 1010.311, § 1010.313, \n§ 1020.315, § 1021.311 or § 1021.313 of \nthis chapter, a financial institution shall \nverify and record the name and address \nof the individual presenting a \ntransaction, as well as record the \nidentity, account number, and the social \nsecurity or taxpayer identification \nnumber, if any, of any person or entity \non whose behalf such transaction is to \nbe effected. Verification of the identity \nof an individual who indicates that he \nor she is an alien or is not a resident of \nthe United States must be made by \npassport, alien identification card, or \nother official document evidencing \nnationality or residence (e.g., a \nProvincial driver’s license with \nindication of home address).'
1,0,'Verification of identity in any other case \nshall be made by examination of a \ndocument, other than a bank signature \ncard, that is normally acceptable within \nthe banking community as a means of \nidentification when cashing checks for \nnondepositors (e.g., a driver’s license or \ncredit card). A bank signature card may \nVerDate Mar<15>2010 15:07 Oct 25, 2010 Jkt 223001 PO 00000 Frm 00013 Fmt 4701 Sfmt 4700 E:\\FR\\FM\\26OCR3.SGM 26OCR3ero\nw\ne\n o\nn\n D\nSK\n5C\nLS\n3C\n1P\nRO\nD \nwi\nth\n R\nUL\nES\n3\n65818 Federal Register / Vol. 75, No. 206 / Tuesday, October 26, 2010 / Rules and Regulations \nbe relied upon only if it was issued after \ndocuments establishing the identity of \nthe individual were examined and \nnotation of the specific information was \nmade on the signature card. In each \ninstance, the specific identifying \ninformation (i.e., the account number of \nthe credit card, the driver’s license \nnumber, etc.) used in verifying the \nidentity of the customer shall be \nrecorded on the report, and the mere \nnotation of ‘‘known customer’’ or ‘‘bank \nsignature card on file’’ on the report is \nprohibited.'
1,0,'§ 1010.313 Aggregation. \n(a) Multiple branches. A financial \ninstitution includes all of its domestic \nbranch offices, and any recordkeeping \nfacility, wherever located, that contains \nrecords relating to the transactions of \nthe institution’s domestic offices, for \npurposes of the transactions in currency \nreporting requirements in this chapter'
1,0,'(b) Multiple transactions. In the case \nof financial institutions other than \ncasinos, for purposes of the transactions \nin currency reporting requirements in \nthis chapter, multiple currency \ntransactions shall be treated as a single \ntransaction if the financial institution \nhas knowledge that they are by or on \nbehalf of any person and result in either \ncash in or cash out totaling more than \n$10,000 during any one business day (or \nin the case of the U.S. Postal Service, \nany one day). Deposits made at night or \nover a weekend or holiday shall be \ntreated as if received on the next \nbusiness day following the deposit.'
1,0,'§ 1010.330 Reports relating to currency in \nexcess of $10,000 received in a trade or \nbusiness. \n(a) Reporting requirement—(1) \nReportable transactions—(i) In general. \nAny person (solely for purposes of \nsection 5331 of title 31, United States \nCode and this section, ‘‘person’’ shall \nhave the same meaning as under 26 \nU.S.C.7701(a)(1)) who, in the course of \na trade or business in which such \nperson is engaged, receives currency in \nexcess of $10,000 in 1 transaction (or \n2 or more related transactions) shall, \nexcept as otherwise provided, make a \nreport of information with respect to the \nreceipt of currency. This section does \nnot apply to amounts received in a \ntransaction reported under 31 U.S.C. \n5313 and §§ 1010.311, 1010.313, \n1020.315, 1021.311 or 1021.313 of this \nchapter.'
1,0,'(ii) Certain financial transactions. \nSection 6050I of title 26 of the United \nStates Code requires persons to report \ninformation about financial transactions \nto the IRS, and 31 U.S.C. 5331 requires \npersons to report similar information \nabout certain transactions to FinCEN. \nThis information shall be reported on \nthe same form as prescribed by the \nSecretary.'
1,0,'(2) Currency received for the account \nof another. Currency in excess of \n$10,000 received by a person for the \naccount of another must be reported \nunder this section. Thus, for example, a \nperson who collects delinquent \naccounts receivable for an automobile \ndealer must report with respect to the \nreceipt of currency in excess of $10,000 \nfrom the collection of a particular \naccount even though the proceeds of the \ncollection are credited to the account of \nthe automobile dealer (i.e., where the \nrights to the proceeds from the account \nare retained by the automobile dealer \nand the collection is made on a fee-for- \nservice basis).'
1,0,'(3) Currency received by agents— \n(i) General rule. Except as provided in \nparagraph (a)(3)(ii) of this section, a \nperson who in the course of a trade or \nbusiness acts as an agent (or in some \nother similar capacity) and receives \ncurrency in excess of $10,000 from a \nprincipal must report the receipt of \ncurrency under this section'
1,0,'(b) Multiple payments. The receipt of \nmultiple currency deposits or currency \ninstallment payments (or other similar \npayments or prepayments) relating to a \nsingle transaction (or two or more \nrelated transactions), is reported as set \nforth in paragraphs (b)(1) through (b)(3) \nof this section. \n(1) Initial payment in excess of \n$10,000. If the initial payment exceeds \n$10,000, the recipient must report the \ninitial payment within 15 days of its \nreceipt. \n(2) Initial payment of $10,000 or less. \nIf the initial payment does not exceed \n$10,000, the recipient must aggregate \nthe initial payment and subsequent \npayments made within one year of the \ninitial payment until the aggregate \namount exceeds $10,000, and report \nwith respect to the aggregate amount \nwithin 15 days after receiving the \nVerDate Mar<15>2010 15:07 Oct 25, 2010 Jkt 223001 PO 00000 Frm 00014 Fmt 4701 Sfmt 4700 E:\\FR\\FM\\26OCR3.SGM 26OCR3ero\nw\ne\n o\nn\n D\nSK\n5C\nLS\n3C\n1P\nRO\nD \nwi\nth\n R\nUL\nES\n3\n65819 Federal Register / Vol. 75, No. 206 / Tuesday, October 26, 2010 / Rules and Regulations \npayment that causes the aggregate \namount to exceed $10,000. \n(3) Subsequent payments. In addition \nto any other required report, a report \nmust be made each time that previously \nunreportable payments made within a \n12-month period with respect to a single \ntransaction (or two or more related \ntransactions), individually or in the \naggregate, exceed $10,000. The report \nmust be made within 15 days after \nreceiving the payment in excess of \n$10,000 or the payment that causes the \naggregate amount received in the 12- \nmonth period to exceed $10,000. (If \nmore than one report would otherwise \nbe required for multiple currency \npayments within a 15-day period that \nrelate to a single transaction (or two or \nmore related transactions), the recipient \nmay make a single combined report \nwith respect to the payments. The \ncombined report must be made no later \nthan the date by which the first of the \nseparate reports would otherwise be \nrequired to be made.)'
1,0,'(e) Time, manner, and form of \nreporting—(1) In general. The reports \nrequired by paragraph (a) of this section \nmust be made by filing a Form 8300, as \nspecified in 26 CFR 1.6050I–1(e)(2). The \nreports must be filed at the time and in \nthe manner specified in 26 CFR \n1.6050I–1(e)(1) and (3) respectively.'
1,0,'(2) Verification. A person making a \nreport of information under this section \nmust verify the identity of the person \nfrom whom the reportable currency is \nreceived. Verification of the identity of \na person who purports to be an alien \nmust be made by examination of such \nperson’s passport, alien identification \ncard, or other official document \nevidencing nationality or residence. \nVerification of the identity of any other \nperson may be made by examination of \na document normally acceptable as a \nmeans of identification when cashing or \naccepting checks (for example, a driver’s \nlicense or a credit card). In addition, a \nreport will be considered incomplete if \nthe person required to make a report \nknows (or has reason to know) that an \nagent is conducting the transaction for \na principal, and the return does not \nidentify both the principal and the \nagent.'
1,0,'(3) Retention of reports. A person \nrequired to make a report under this \nsection must keep a copy of each report \nfiled for five years from the date of \nfiling.'
1,0,'§ 1010.340 Reports of transportation of \ncurrency or monetary instruments. \n(a) Each person who physically \ntransports, mails, or ships, or causes to \nbe physically transported, mailed, or \nshipped, or attempts to physically \ntransport, mail or ship, or attempts to \ncause to be physically transported, \nmailed or shipped, currency or other \nmonetary instruments in an aggregate \namount exceeding $10,000 at one time \nfrom the United States to any place \noutside the United States, or into the \nUnited States from any place outside the \nUnited States, shall make a report \nthereof. A person is deemed to have \ncaused such transportation, mailing or \nshipping when he aids, abets, counsels, \ncommands, procures, or requests it to be \ndone by a financial institution or any \nother person.'
1,0,'(b) Each person who receives in the \nU.S. currency or other monetary \ninstruments in an aggregate amount \nexceeding $10,000 at one time which \nhave been transported, mailed, or \nshipped to such person from any place \noutside the United States with respect to \nwhich a report has not been filed under \nparagraph (a) of this section, whether or \nnot required to be filed thereunder, shall \nmake a report thereof, stating the \namount, the date of receipt, the form of \nmonetary instruments, and the person \nfrom whom received.'
1,0,'§ 1010.350 Reports of foreign financial \naccounts. \nEach person subject to the jurisdiction \nof the United States (except a foreign \nsubsidiary of a U.S. person) having a \nfinancial interest in, or signature or \nother authority over, a bank, securities \nor other financial account in a foreign \nVerDate Mar<15>2010 15:07 Oct 25, 2010 Jkt 223001 PO 00000 Frm 00017 Fmt 4701 Sfmt 4700 E:\\FR\\FM\\26OCR3.SGM 26OCR3ero\nw\ne\n o\nn\n D\nSK\n5C\nLS\n3C\n1P\nRO\nD \nwi\nth\n R\nUL\nES\n3\n65822 Federal Register / Vol. 75, No. 206 / Tuesday, October 26, 2010 / Rules and Regulations \ncountry shall report such relationship to \nthe Commissioner of the Internal \nRevenue for each year in which such \nrelationship exists, and shall provide \nsuch information as shall be specified in \na reporting form prescribed by the \nSecretary to be filed by such persons. \nPersons having a financial interest in 25 \nor more foreign financial accounts need \nonly note that fact on the form. Such \npersons will be required to provide \ndetailed information concerning each \naccount when so requested by the \nSecretary or his delegate.'
1,0,'(b) Information subject to reporting \nrequirements. A regulation promulgated \npursuant to paragraph (a) of this section \nshall designate one or more of the \nfollowing categories of information to be \nreported: \n(1) Checks or drafts, including \ntraveler’s checks, received by \nrespondent financial institution for \ncollection or credit to the account of a \nforeign financial agency, sent by \nrespondent financial institution to a \nforeign country for collection or \npayment, drawn by respondent financial \ninstitution on a foreign financial agency, \ndrawn by a foreign financial agency on \nrespondent financial institution— \nincluding the following information. \n(i) Name of maker or drawer; \n(ii) Name of drawee or drawee \nfinancial institution; \n(iii) Name of payee; \n(iv) Date and amount of instrument; \n(v) Names of all endorsers. \n(2) Transmittal orders received by a \nrespondent financial institution from a \nforeign financial agency or sent by \nrespondent financial institution to a \nforeign financial agency, including all \ninformation maintained by that \ninstitution pursuant to §§ 1010.410 and \n1020.410. \n(3) Loans made by respondent \nfinancial institution to or through a \nforeign financial agency—including the \nfollowing information: \n(i) Name of borrower; \n(ii) Name of person acting for \nborrower; \n(iii) Date and amount of loan; \n(iv) Terms of repayment; \n(v) Name of guarantor; \n(vi) Rate of interest; \n(vii) Method of disbursing proceeds; \n(viii) Collateral for loan. \n(4) Commercial paper received or \nshipped by the respondent financial \ninstitution—including the following \ninformation: \n(i) Name of maker; \n(ii) Date and amount of paper; \n(iii) Due date; \n(iv) Certificate number; \n(v) Amount of transaction. \n(5) Stocks received or shipped by \nrespondent financial institution— \nincluding the following information: \n(i) Name of corporation; \n(ii) Type of stock; \n(iii) Certificate number; \n(iv) Number of shares; \n(v) Date of certificate; \n(vi) Name of registered holder; \n(vii) Amount of transaction. \n(6) Bonds received or shipped by \nrespondent financial institution— \nincluding the following information: \n(i) Name of issuer; \n(ii) Bond number; \n(iii) Type of bond series; \n(iv) Date issued; \n(v) Due date; \n(vi) Rate of interest; \n(vii) Amount of transaction; \n(viii) Name of registered holder. \n(7) Certificates of deposit received or \nshipped by respondent financial \ninstitution—including the following \ninformation: \n(i) Name and address of issuer; \n(ii) Date issued; \n(iii) Dollar amount; \n(iv) Name of registered holder; \n(v) Due date; \n(vi) Rate of interest; \n(vii) Certificate number; \n(viii) Name and address of issuing \nagent.'
1,0,'(e) Limitations. (1) In issuing \nregulations under paragraph (a) of this \nsection, the Secretary shall consider the \nneed to avoid impeding or controlling \nthe export or import of monetary \ninstruments and the need to avoid \nburdening unreasonably a person \nmaking a transaction with a foreign \nfinancial agency.'
1,0,'(b) An order issued under paragraph \n(a) of this section shall be directed to the \nChief Executive Officer of the financial \ninstitution and shall designate one or \nmore of the following categories of \ninformation to be reported: Each \ndeposit, withdrawal, exchange of \ncurrency or other payment or transfer, \nby, through or to such financial \ninstitution specified in the order, which \ninvolves all or any classwekaattribute of transactions \nin currency and/or monetary \ninstruments equal to or exceeding an \namount to be specified in the order.'
